period,tp_mult,sl_mult,total_trades,win_rate,total_pnl,expectancy,max_drawdown,conf_threshold
2010-2012,3.25,1.0,15,0.0,-136.8853304129461,-9.125688694196407,-0.013688533041294795,0.1080317348241806
2010-2012,3.25,1.125,15,0.0,-151.64311021554155,-10.109540681036103,-0.015164311021554204,0.1080317348241806
2010-2012,3.25,1.25,15,0.0,-166.4008900181361,-11.09339266787574,-0.016640089001813976,0.1080317348241806
2010-2012,3.5,0.75,15,0.0,-114.72754363490546,-7.648502908993697,-0.01147275436349064,0.1080317348241806
2010-2012,3.5,0.875,15,0.0,-122.93101466064465,-8.19540097737631,-0.012293101466064217,0.1080317348241806
2010-2012,3.5,1.0,15,0.0,-136.8853304129461,-9.125688694196407,-0.013688533041294795,0.1080317348241806
2010-2012,3.5,1.125,15,0.0,-151.64311021554155,-10.109540681036103,-0.015164311021554204,0.1080317348241806
2010-2012,3.5,1.25,15,0.0,-166.4008900181361,-11.09339266787574,-0.016640089001813976,0.1080317348241806
2013-2015,2.5,0.75,14,0.0,-275.74004697963113,-19.695717641402222,-0.027574004697963575,0.15069493651390076
2013-2015,2.5,0.875,14,0.0,-318.4394161376953,-22.74567258126395,-0.031843941613769494,0.15069493651390076
2013-2015,2.5,1.0,14,0.14285714285714285,-205.6239537527903,-14.687425268056453,-0.025808055686732587,0.15069493651390076
2013-2015,2.5,1.125,14,0.14285714285714285,-242.76922178431877,-17.340658698879913,-0.0288602783473425,0.15069493651390076
2013-2015,2.5,1.25,14,0.14285714285714285,-279.9144898158482,-19.993892129703447,-0.03191250100795205,0.15069493651390076
2013-2015,2.75,0.75,14,0.0,-275.74004697963113,-19.695717641402222,-0.027574004697963575,0.15069493651390076
2013-2015,2.75,0.875,14,0.0,-318.4394161376953,-22.74567258126395,-0.031843941613769494,0.15069493651390076
2013-2015,2.75,1.0,14,0.14285714285714285,-194.51575149972123,-13.893982249980091,-0.025808055686732587,0.15069493651390076
2013-2015,2.75,1.125,14,0.14285714285714285,-231.6610195312497,-16.547215680803554,-0.0288602783473425,0.15069493651390076
2013-2015,2.75,1.25,14,0.14285714285714285,-268.8062875627791,-19.200449111627083,-0.03191250100795205,0.15069493651390076
2013-2015,3.0,0.75,14,0.0,-275.74004697963113,-19.695717641402222,-0.027574004697963575,0.15069493651390076
2013-2015,3.0,0.875,14,0.0,-318.4394161376953,-22.74567258126395,-0.031843941613769494,0.15069493651390076
2013-2015,3.0,1.0,14,0.14285714285714285,-183.4075492466517,-13.100539231903696,-0.025808055686732587,0.15069493651390076
2013-2015,3.0,1.125,14,0.14285714285714285,-220.55281727818019,-15.753772662727158,-0.0288602783473425,0.15069493651390076
2013-2015,3.0,1.25,14,0.14285714285714285,-257.6980853097096,-18.407006093550688,-0.03191250100795205,0.15069493651390076
