symbol,entry,exit,shares,entry_date,exit_date,entry_value,percent_of_equity_at_entry,risk_amount_usd,risk_pct_of_equity,pnl,pnl_percent,exit_reason,entry_time_idx
META,240.6018829345703,615.6799926757812,29,2026-03-18 00:00:00,2026-03-18 00:00:00,6977.45,69.7745,69.77,0.697745,10877.265182495117,108.77265182495117,TAKE_PROFIT_OR_OPPOSITE_SIGNAL,2062
META,606.7000122070312,600.6330120849609,29,2026-03-20 00:00:00,2026-03-20 00:00:00,17594.3,175.943,175.94,1.75943,-175.94300354003985,-1.7594300354003987,STOP_LOSS,2064
META,547.5399780273438,542.0645782470704,32,2026-03-27 00:00:00,2026-03-27 00:00:00,17521.28,175.2128,175.21,1.752128,-175.21279296874854,-1.7521279296874854,STOP_LOSS,2069
META,598.8599853515625,592.8713854980468,29,2026-05-12 00:00:00,2026-05-12 00:00:00,17366.94,173.6694,173.67,1.736694,-173.6693957519543,-1.736693957519543,STOP_LOSS,2100
META,602.6099853515625,596.5838854980469,29,2026-05-21 00:00:00,2026-05-21 00:00:00,17475.69,174.7569,174.76,1.747569,-174.75689575195167,-1.7475689575195168,STOP_LOSS,2107
GOOGL,49.15623092651367,48.66466861724854,203,2018-12-24 00:00:00,2018-12-24 00:00:00,9978.71,99.7871,99.79,0.997871,-99.78714878082229,-0.997871487808223,STOP_LOSS,246
GOOGL,58.47966766357422,57.89487098693848,169,2019-03-27 00:00:00,2019-03-27 00:00:00,9883.06,98.8306,98.83,0.988306,-98.83063835144009,-0.9883063835144009,STOP_LOSS,309
GOOGL,59.457584381103516,58.86300853729248,164,2019-04-30 00:00:00,2019-04-30 00:00:00,9751.04,97.5104,97.51,0.975104,-97.5104383850099,-0.975104383850099,STOP_LOSS,332
GOOGL,59.81513214111328,59.21698081970215,162,2019-08-09 00:00:00,2019-08-09 00:00:00,9690.05,96.9005,96.9,0.969005,-96.9005140686031,-0.969005140686031,STOP_LOSS,403
GOOGL,59.52998733520508,58.934687461853024,161,2019-08-20 00:00:00,2019-08-20 00:00:00,9584.33,95.8433,95.84,0.958433,-95.84327960968076,-0.9584327960968076,STOP_LOSS,410
GOOGL,61.242332458496094,60.629909133911134,155,2019-09-18 00:00:00,2019-09-18 00:00:00,9492.56,94.9256,94.93,0.949256,-94.92561531066872,-0.9492561531066871,STOP_LOSS,430
GOOGL,61.42978286743164,60.81548503875732,153,2019-09-20 00:00:00,2019-09-20 00:00:00,9398.76,93.9876,93.99,0.939876,-93.98756778717055,-0.9398756778717056,STOP_LOSS,432
